Orthogroup	Mcap.protein	Pocillopora_acuta_protein
OG0015129	adi2mcaRNA10016_R5	
OG0015130	adi2mcaRNA10017_R1	
OG0015131	adi2mcaRNA10028_R1	
OG0015132	adi2mcaRNA10028_R3	
OG0015133	adi2mcaRNA10043_R1	
OG0015134	adi2mcaRNA10065_R8	
OG0015135	adi2mcaRNA10065_R9	
OG0015136	adi2mcaRNA1007_R1	
OG0015137	adi2mcaRNA1007_R2	
OG0015138	adi2mcaRNA1007_R4	
OG0015139	adi2mcaRNA10172_R0	
OG0015140	adi2mcaRNA10172_R1	
OG0015141	adi2mcaRNA10172_R2	
OG0015142	adi2mcaRNA10172_R3	
OG0015143	adi2mcaRNA10172_R4	
OG0015144	adi2mcaRNA10172_R5	
OG0015145	adi2mcaRNA10172_R7	
OG0015146	adi2mcaRNA10172_R9	
OG0015147	adi2mcaRNA10177_R0	
OG0015148	adi2mcaRNA10177_R1	
OG0015149	adi2mcaRNA10177_R2	
OG0015150	adi2mcaRNA10177_R3	
OG0015151	adi2mcaRNA10177_R4	
OG0015152	adi2mcaRNA10177_R5	
OG0015153	adi2mcaRNA10177_R6	
OG0015154	adi2mcaRNA10193_R1	
OG0015155	adi2mcaRNA10194_R4	
OG0015156	adi2mcaRNA10194_R8	
OG0015157	adi2mcaRNA10194_R9	
OG0015158	adi2mcaRNA10204_R0	
OG0015159	adi2mcaRNA10208_R0	
OG0015160	adi2mcaRNA10208_R3	
OG0015161	adi2mcaRNA10211_R5	
OG0015162	adi2mcaRNA10224_R0	
OG0015163	adi2mcaRNA10224_R4	
OG0015164	adi2mcaRNA10224_R7	
OG0015165	adi2mcaRNA10224_R8	
OG0015166	adi2mcaRNA10226_R5	
OG0015167	adi2mcaRNA10232_R1	
OG0015168	adi2mcaRNA10239_R0	
OG0015169	adi2mcaRNA10239_R2	
OG0015170	adi2mcaRNA10239_R5	
OG0015171	adi2mcaRNA10240_R2	
OG0015172	adi2mcaRNA10252_R6	
OG0015173	adi2mcaRNA10252_R7	
OG0015174	adi2mcaRNA10252_R8	
OG0015175	adi2mcaRNA10252_R9	
OG0015176	adi2mcaRNA10301_R1	
OG0015177	adi2mcaRNA10301_R2	
OG0015178	adi2mcaRNA10310_R0	
OG0015179	adi2mcaRNA10314_R0	
OG0015180	adi2mcaRNA10369_R0	
OG0015181	adi2mcaRNA10371_R0	
OG0015182	adi2mcaRNA10379_R1	
OG0015183	adi2mcaRNA10389_R5	
OG0015184	adi2mcaRNA10389_R8	
OG0015185	adi2mcaRNA10389_R9	
OG0015186	adi2mcaRNA10392_R8	
OG0015187	adi2mcaRNA10443_R0	
OG0015188	adi2mcaRNA10446_R0	
OG0015189	adi2mcaRNA10446_R5	
OG0015190	adi2mcaRNA10479_R0	
OG0015191	adi2mcaRNA10479_R1	
OG0015192	adi2mcaRNA1047_R0	
OG0015193	adi2mcaRNA10480_R4	
OG0015194	adi2mcaRNA10482_R0	
OG0015195	adi2mcaRNA10482_R1	
OG0015196	adi2mcaRNA10482_R2	
OG0015197	adi2mcaRNA10482_R5	
OG0015198	adi2mcaRNA10482_R7	
OG0015199	adi2mcaRNA10482_R8	
OG0015200	adi2mcaRNA10482_R9	
OG0015201	adi2mcaRNA10485_R7	
OG0015202	adi2mcaRNA10485_R8	
OG0015203	adi2mcaRNA10485_R9	
OG0015204	adi2mcaRNA10499_R0	
OG0015205	adi2mcaRNA10499_R1	
OG0015206	adi2mcaRNA10499_R2	
OG0015207	adi2mcaRNA10499_R3	
OG0015208	adi2mcaRNA10499_R4	
OG0015209	adi2mcaRNA10499_R5	
OG0015210	adi2mcaRNA10499_R6	
OG0015211	adi2mcaRNA10499_R7	
OG0015212	adi2mcaRNA10499_R8	
OG0015213	adi2mcaRNA10499_R9	
OG0015214	adi2mcaRNA10505_R0	
OG0015215	adi2mcaRNA10517_R1	
OG0015216	adi2mcaRNA10557_R0	
OG0015217	adi2mcaRNA10569_R2	
OG0015218	adi2mcaRNA10592_R8	
OG0015219	adi2mcaRNA10599_R1	
OG0015220	adi2mcaRNA10631_R0	
OG0015221	adi2mcaRNA10632_R0	
OG0015222	adi2mcaRNA10632_R4	
OG0015223	adi2mcaRNA10632_R7	
OG0015224	adi2mcaRNA10632_R8	
OG0015225	adi2mcaRNA10633_R0	
OG0015226	adi2mcaRNA10633_R1	
OG0015227	adi2mcaRNA10633_R8	
OG0015228	adi2mcaRNA10635_R1	
OG0015229	adi2mcaRNA10638_R3	
OG0015230	adi2mcaRNA10638_R4	
OG0015231	adi2mcaRNA1064_R1	
OG0015232	adi2mcaRNA10665_R4	
OG0015233	adi2mcaRNA10665_R5	
OG0015234	adi2mcaRNA10668_R0	
OG0015235	adi2mcaRNA10668_R1	
OG0015236	adi2mcaRNA10668_R2	
OG0015237	adi2mcaRNA10691_R1	
OG0015238	adi2mcaRNA10691_R2	
OG0015239	adi2mcaRNA10691_R3	
