Orthogroup	Mcap.protein	Pocillopora_acuta_protein
OG0000000	adi2mcaRNA21168_R0, adi2mcaRNA36365_R0, adi2mcaRNA6923_R1, augustus.g27153.t1, augustus.g28498.t1, augustus.g33970.t1, augustus.g33995.t1, augustus.g35176.t1, augustus.g40930.t1, augustus.g4394.t1, augustus.g45315.t1, augustus.g52595.t1, augustus.g58966.t1, augustus.g59066.t1, augustus.g61068.t1	g11845, g13451, g14063, g14280, g14761, g15299, g17963, g2012, g21497, g21703, g22292, g23092, g25241, g25865, g26313, g26359, g27466, g27505, g27610, g31140, g32233, g3259, g32999, g33823, g34529, g40291, g4231, g45492, g45936, g4659, g47605, g49646, g50815, g51284, g53247, g55288, g59758, g61002, g61321, g61601, g63514, g63799, g7478, g7792, g9093, g9608, g9649
OG0000001	adi2mcaRNA1343_R0, adi2mcaRNA4286_R0, augustus.g31881.t1, augustus.g33197.t1, augustus.g33566.t1, augustus.g34406.t1, augustus.g55012.t1, augustus.g58377.t1, augustus.g63475.t1	g1008, g10438, g1045, g11222, g11281, g11569, g1251, g12789, g14408, g15032, g15250, g15367, g15551, g15631, g15974, g16854, g18182, g19669, g20958, g21832, g23145, g25195, g25204, g26992, g27180, g27337, g3139, g32900, g36486, g37273, g38550, g39145, g47141, g47487, g50241, g5337, g55622, g56349, g56670, g57120, g57605, g59408, g60857, g61521, g62535, g64479, g7688, g8760, g995
OG0000002	augustus.g6740.t1	g1038, g10595, g13511, g15818, g16047, g16709, g17561, g19954, g23691, g24968, g26580, g27470, g28330, g28354, g29672, g33258, g34159, g3451, g37960, g38761, g38966, g4039, g40802, g41986, g43749, g45628, g49001, g50297, g5163, g53384, g54684, g55103, g56386, g56906, g5773, g58, g58052, g58399, g58742, g59587, g6372, g64100, g6778, g8269, g8418, g9028
OG0000003	augustus.g11301.t1, augustus.g64395.t1	g11031, g11181, g11484, g12774, g14471, g16678, g18081, g2286, g2341, g24596, g248, g24946, g25884, g28978, g29326, g32319, g34158, g35963, g36151, g38251, g38490, g39279, g41004, g41778, g43748, g50307, g5164, g52953, g52957, g54423, g55498, g55535, g56274, g56395, g56569, g56976, g57079, g5866, g61548, g63730
OG0000004	augustus.g22566.t1, augustus.g35024.t1, augustus.g37229.t1, augustus.g43827.t1, augustus.g51655.t1, augustus.g70331.t1	g10299, g1070, g10724, g11392, g11413, g11639, g11861, g12843, g15709, g16142, g18347, g21136, g2409, g26603, g28072, g29170, g30437, g30544, g31147, g33307, g34677, g35218, g36373, g37626, g48326, g5145, g52140, g53816, g59696, g60604, g62930, g6362, g63829, g81, g8628
OG0000005	augustus.g22834.t1, augustus.g25430.t1, augustus.g29179.t1, augustus.g29899.t1, augustus.g29903.t1, augustus.g37649.t1, augustus.g37650.t1, augustus.g4901.t1, augustus.g61745.t1	g12232, g12710, g14757, g14870, g19519, g2051, g20747, g21325, g21415, g24857, g25172, g25205, g26049, g31891, g31931, g35127, g38432, g39095, g44995, g47001, g47002, g47733, g48528, g53779, g59761, g64262, g6527, g8784, g8966, g9392, g961, g9683
OG0000006	adi2mcaRNA1099_R0, adi2mcaRNA36173_R1, augustus.g58167.t1	g18236, g18241, g28135, g35987, g36525, g38900, g39537, g41336, g42230, g42237, g42756, g44117, g44277, g44958, g4560, g4561, g45683, g46084, g46087, g47260, g49220, g49242, g5092, g5097, g51144, g52064, g52450, g52978, g53523, g55761, g56307, g57274, g58135, g61115, g61669, g7454, g7459
OG0000007	adi2mcaRNA20852_R2, adi2mcaRNA20852_R3, adi2mcaRNA20852_R4, adi2mcaRNA20852_R6, adi2mcaRNA23428_R4, adi2mcaRNA28366_R0, augustus.g56670.t1, augustus.g64863.t1, augustus.g64865.t1, augustus.g68966.t1, augustus.g8540.t1	g17504, g17602, g18038, g18412, g18590, g25795, g29135, g30306, g30641, g30644, g32948, g33992, g33996, g44590, g45537, g46889, g48007, g48011, g48384, g50936, g56263, g56426, g57061, g57790, g59256, g59552, g61110, g63437
OG0000008	adi2mcaRNA30862_R0, adi2mcaRNA30862_R1, augustus.g28674.t1, augustus.g62552.t1, augustus.g68327.t1	g12288, g30909, g32523, g36195, g390, g40020, g40028, g40029, g40036, g40995, g43937, g45011, g45137, g46936, g48452, g48454, g50249, g5179, g52349, g52351, g52353, g53128, g56691, g56692, g56695, g56696, g57969, g58242, g58245, g58966, g64090, g64425, g64426, g64428
OG0000009	adi2mcaRNA35648_R2, augustus.g43736.t1, augustus.g48777.t1, augustus.g56721.t1, augustus.g66732.t1	g1127, g12304, g12829, g13376, g1398, g18904, g20679, g23196, g25444, g25801, g26070, g29583, g31033, g33302, g33481, g33991, g34646, g34895, g38144, g39640, g40398, g40459, g43191, g43781, g44188, g45784, g49206, g49505, g59069, g60378, g61948, g62238
