species,method,comparison,GenomeFeature,statistic,p.adj
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,CDS,41325.1739036752,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Introns,2908.25976857082,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Upstream.Flanks,1049.97099299892,3.08705644213613e-230
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Downstream.Flanks,223.720658405513,1.39586460169689e-50
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Intergenic,36909.0943429746,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,CDS,3915.72034211161,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Introns,0.886962196419357,0.346301853610409
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Upstream.Flanks,669.57419688943,2.06088510678066e-147
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Downstream.Flanks,217.6453062728,3.68913588935834e-49
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Intergenic,795.111942330675,1.55867980492189e-174
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,CDS,41547.542809064,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Introns,4484.12592709909,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Upstream.Flanks,123.762849667188,1.18673215694487e-28
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Downstream.Flanks,0.758352310218765,0.383844655301479
Mcap,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Intergenic,3113.04461986766,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,CDS,29494.200375159,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Introns,986.540611811971,2.52185595031171e-216
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Upstream.Flanks,17.8770942245105,2.35640280875614e-05
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Downstream.Flanks,504.716012488768,1.11887277099243e-111
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Intergenic,20107.9529113912,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,CDS,14837.5901991009,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Introns,6745.13516510554,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Upstream.Flanks,0.438589470650434,0.507804044628238
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Downstream.Flanks,30.3014332501429,4.62315637977077e-08
Mcap,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Intergenic,30.7826181567275,4.62315637977077e-08
Mcap,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,CDS,45514.6863057762,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Introns,3870.59504045555,0
Mcap,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Upstream.Flanks,2.09208015914811,0.148064344253383
Mcap,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Downstream.Flanks,35.076340651496,3.96286698499345e-09
Mcap,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Intergenic,4099.69036419403,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,CDS,19981.6539695184,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Introns,10411.9353443107,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Upstream.Flanks,3120.91358452897,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Downstream.Flanks,1235.69425124799,1.066685718318e-270
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. WGBS,Intergenic,63608.1803053767,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,CDS,26548.725068714,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Introns,122.176833122712,2.63942145035139e-28
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Upstream.Flanks,2771.94593879105,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Downstream.Flanks,17.8180900161294,2.43061333552067e-05
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Intergenic,20853.4035292634,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,CDS,144611.776653165,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Introns,7.81943372444227,0.00516873883030227
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Upstream.Flanks,211.04013178851,1.0182423407724e-47
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Downstream.Flanks,555.424410935353,1.38617962719304e-122
Pact,Pearson's Chi-squared test with Yates' continuity correction,all vs. RRBS,Intergenic,87418.3381524633,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,CDS,3854.78030034891,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Introns,5891.75588881601,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Upstream.Flanks,196.042459395649,1.52580164654908e-44
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Downstream.Flanks,725.828235783934,1.2055265515433e-159
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. RRBS,Intergenic,595.232634868727,2.27853518414105e-131
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,CDS,61269.1837392475,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Introns,5839.83614024814,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Upstream.Flanks,869.864952441946,3.49093595997497e-191
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Downstream.Flanks,2480.72939416738,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,WGBS vs. MBDBS,Intergenic,8000.21284518471,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,CDS,16479.0099865775,0
Pact,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Introns,138.671441061347,5.19694891909081e-32
Pact,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Upstream.Flanks,1243.51667983537,3.54730354051995e-272
Pact,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Downstream.Flanks,184.546045223445,6.16326584601912e-42
Pact,Pearson's Chi-squared test with Yates' continuity correction,RRBS vs. MBDBS,Intergenic,8180.98190707764,0
