"","category","WGBS","RRBS","MBDBS","Term","GOterm_desc"
"1","GO:1990890",0.000321960021312629,NA,0.00319042728769591,"netrin receptor binding","GO:1990890 netrin receptor binding"
"2","GO:0050023",0.000939208405452443,NA,0.00105411272926109,"L-fuconate dehydratase activity","GO:0050023 L-fuconate dehydratase activity"
"3","GO:0015616",0.00133322203134652,NA,0.0137533268973376,"DNA translocase activity","GO:0015616 DNA translocase activity"
"4","GO:0097677",0.00763169634316989,NA,0.00303023804858289,"STAT family protein binding","GO:0097677 STAT family protein binding"
"5","GO:0004521",0.00810614326075278,NA,0.00234885145065175,"endoribonuclease activity","GO:0004521 endoribonuclease activity"
"6","GO:0035374",0.0100270641693333,NA,0.004288043158661,"chondroitin sulfate binding","GO:0035374 chondroitin sulfate binding"
"7","GO:1990782",0.0207546272949282,NA,NA,"protein tyrosine kinase binding","GO:1990782 protein tyrosine kinase binding"
"8","GO:0019806",0.0234470970107852,NA,NA,"bromide peroxidase activity","GO:0019806 bromide peroxidase activity"
"9","GO:0045569",0.0279596173717541,NA,NA,"TRAIL binding","GO:0045569 TRAIL binding"
"10","GO:0005164",0.0279610044111053,NA,7.84154967500851e-05,"tumor necrosis factor receptor binding","GO:0005164 tumor necrosis factor receptor binding"
"11","GO:0004165",0.0371290756638698,NA,0.0300531693252735,"dodecenoyl-CoA delta-isomerase activity","GO:0004165 dodecenoyl-CoA delta-isomerase activity"
"12","GO:0030020",0.0427869062060156,NA,0.0375321071213847,"extracellular matrix structural constituent conferring tensile strength","GO:0030020 extracellular matrix structural constituent conferring tensile strength"
"13","GO:0004713",0.0446057655206455,NA,0.0102756383564201,"protein tyrosine kinase activity","GO:0004713 protein tyrosine kinase activity"
"14","GO:0050699",0.0471413429854404,NA,0.0105512346022988,"WW domain binding","GO:0050699 WW domain binding"
"15","GO:0050700",0.0493502509899772,NA,NA,"CARD domain binding","GO:0050700 CARD domain binding"
"16","GO:0019843",NA,2.81957312892541e-05,NA,"rRNA binding","GO:0019843 rRNA binding"
"17","GO:0003735",NA,5.51705359734752e-05,NA,"structural constituent of ribosome","GO:0003735 structural constituent of ribosome"
"18","GO:0030170",NA,0.00060252036685985,NA,"pyridoxal phosphate binding","GO:0030170 pyridoxal phosphate binding"
"19","GO:0004527",NA,0.000836709679159254,NA,"exonuclease activity","GO:0004527 exonuclease activity"
