Sample,Species,Method,conversion_efficiency_ecoli,est_conversion_efficiency_umCHG_umCHH,aligned_reads,ambig_reads,discarded_reads,meth_chg,meth_chh,meth_cpg,no_alignments,percent_aligned,percent_chg_meth,percent_chh_meth,percent_cpg_meth,total_c,total_reads,unmeth_chg,unmeth_chh,unmeth_cpg,tot_chg,tot_chh,tot_cpg,unmeth_chg_chh,tot_chg_chh
Meth1,P. acuta,WGBS,98.83721597,98.80292387,2067232,63444,0,331054,587823,384537,72294019,2.777615683,1.2,1.2,1.1,113082930,74424695,28140062,49964936,33674518,28471116,50552759,34059055,78104998,79023875
Meth2,P. acuta,WGBS,98.3034515,98.76279803,743448,45997,0,117238,330378,134444,84169773,0.875064552,1.2,2,1.2,37683048,84959218,9325315,16610989,11164684,9442553,16941367,11299128,25936304,26383920
Meth3,P. acuta,WGBS,98.83498936,98.77530406,1783822,56539,0,287617,514004,334021,75831912,2.296600745,1.2,1.2,1.1,98521353,77672273,24594546,43411874,29379291,24882163,43925878,29713312,68006420,68808041
Meth4,P. acuta,RRBS,99.24529016,99.02375103,20858855,1086565,0,1572545,3716965,10755342,127883369,13.92179376,0.6,0.9,3.2,1037373553,149828789,269623303,425953890,325751508,271195848,429670855,336506850,695577193,700866703
Meth5,P. acuta,RRBS,99.06658039,99.33004835,25385835,1445173,0,1864120,5809569,13356129,257285362,8.935013143,0.6,1.2,3.4,1216049206,284116370,315213718,499217563,380588107,317077838,505027132,393944236,814431281,822104970
Meth6,P. acuta,RRBS,99.18351745,99.13154468,17223714,936464,0,1269417,3356012,8969121,122221927,12.26916636,0.6,1,3.3,837822086,140382105,217295520,344585831,262346185,218564937,347941843,271315306,561881351,566506780
Meth7,P. acuta,MBDBS,98.73876973,98.30141649,1807479,67378,3,292359,599722,355102,93662468,1.891908738,1.2,1.3,1.2,100752645,95537325,24937022,44901914,29666526,25229381,45501636,30021628,69838936,70731017
Meth8,P. acuta,MBDBS,98.59422221,97.58260678,1830106,74311,2,332944,674102,408609,83269883,2.148659866,1.3,1.5,1.3,101987599,85174300,25190219,45438950,29942775,25523163,46113052,30351384,70629169,71636215
Meth9,P. acuta,MBDBS,98.59600262,98.23384925,1702838,63649,0,318297,604062,371121,85267224,1.956526937,1.4,1.4,1.3,93339251,87033711,22972831,41800018,27272922,23291128,42404080,27644043,64772849,65695208
Meth10,M. capitata,WGBS,98.69279818,98.64636136,2253304,73698,3,398915,718042,463276,81055905,2.702357211,1.3,1.3,1.3,122396335,83382907,30449880,53879571,36486651,30848795,54597613,36949927,84329451,85446408
Meth11,M. capitata,WGBS,98.62452349,98.78580077,676715,29390,0,109755,238440,127853,56139484,1.19044417,1.2,1.5,1.2,36266037,56845589,9040624,15925681,10823684,9150379,16164121,10951537,24966305,25314500
Meth12,M. capitata,WGBS,98.77382628,98.70539406,2013006,58771,3,362660,611397,419417,92350928,2.131908845,1.3,1.2,1.2,113300450,94422705,28097754,50366933,33442289,28460414,50978330,33861706,78464687,79438744
Meth13,M. capitata,RRBS,99.25946298,99.37977728,6361993,303048,0,513693,1152918,3076960,93942886,6.32355043,0.6,0.8,2.9,330622014,100607927,84959815,138427953,102490675,85473508,139580871,105567635,223387768,225054379
Meth14,M. capitata,RRBS,99.24537905,99.385172,4416160,228955,0,318775,822127,1949119,64514744,6.38543812,0.5,0.9,2.7,222783977,69159859,57661846,92386004,69646106,57980621,93208131,71595225,150047850,151188752
Meth15,M. capitata,RRBS,99.25111479,99.03719926,9108570,459946,0,713048,1663938,4433012,99342731,8.363296033,0.6,0.8,3,466793413,108911247,120042295,194983970,144957150,120755343,196647908,149390162,315026265,317403251
Meth16,M. capitata,MBDBS,98.81282175,98.36961724,13777977,335680,4,2629289,3997006,3069507,59159400,18.80360608,1.3,1.1,1.3,796084119,73273057,197034366,354494358,234859593,199663655,358491364,237929100,551528724,558155019
Meth17,M. capitata,MBDBS,98.86918403,98.28443835,12928099,331988,42,2279554,3606823,2672963,68349409,15.84141507,1.2,1.1,1.2,742657378,81609496,184177164,330478893,219441981,186456718,334085716,222114944,514656057,520542434
Meth18,M. capitata,MBDBS,98.81940813,98.34356816,14475532,347191,3,2705359,4288243,3139919,46762677,23.50481121,1.3,1.1,1.3,843168405,61585400,208262441,377124962,247647481,210967800,381413205,250787400,585387403,592381005
