"","category","WGBS","RRBS","MBDBS","Term","GOterm_desc"
"1","GO:0005509",4.34794387917996e-28,2.73298705156986e-61,1.00447654475222e-27,"calcium ion binding","GO:0005509 calcium ion binding"
"2","GO:0005524",1.23089714886069e-12,7.33012573598206e-24,2.84037562403521e-09,"ATP binding","GO:0005524 ATP binding"
"3","GO:0042802",2.55267261846277e-12,8.68930156328245e-19,2.02529411430016e-06,"identical protein binding","GO:0042802 identical protein binding"
"4","GO:0003723",3.37174596499621e-12,1.11922599290124e-22,6.30994434329199e-10,"RNA binding","GO:0003723 RNA binding"
"5","GO:0005525",1.40111411384904e-10,6.00857766187897e-13,0.000498524768510454,"GTP binding","GO:0005525 GTP binding"
"6","GO:0004222",1.67773040317476e-08,3.66774383187002e-15,8.2296916134933e-05,"metalloendopeptidase activity","GO:0004222 metalloendopeptidase activity"
"7","GO:0016491",4.43781123809296e-08,2.27667892256354e-08,8.63731989066387e-06,"oxidoreductase activity","GO:0016491 oxidoreductase activity"
"8","GO:0005178",5.60719567473825e-08,6.19876127229579e-12,3.30778799440191e-06,"integrin binding","GO:0005178 integrin binding"
"9","GO:0004930",6.02025687990744e-08,0.00542292166223906,1.3377023627214e-09,"G protein-coupled receptor activity","GO:0004930 G protein-coupled receptor activity"
"10","GO:0019900",1.1305480515986e-07,4.31382913511722e-05,1.33319187475314e-10,"kinase binding","GO:0019900 kinase binding"
"11","GO:0003924",1.32941897623147e-07,4.88537428713153e-07,NA,"GTPase activity","GO:0003924 GTPase activity"
"12","GO:0042803",2.70284530684369e-07,9.02049916220437e-15,0.000623387346964183,"protein homodimerization activity","GO:0042803 protein homodimerization activity"
"13","GO:0008270",3.37970243841016e-07,1.57331484774337e-18,1.96820489207822e-08,"zinc ion binding","GO:0008270 zinc ion binding"
"14","GO:0004714",5.03371441773137e-07,4.25024589174582e-14,1.53847475119133e-06,"transmembrane receptor protein tyrosine kinase activity","GO:0004714 transmembrane receptor protein tyrosine kinase activity"
"15","GO:0030246",5.31991002815951e-07,6.43083789881223e-10,5.94635491678084e-05,"carbohydrate binding","GO:0030246 carbohydrate binding"
"16","GO:0008233",6.32837630361889e-07,0.000113255075339718,2.27505403713347e-05,"peptidase activity","GO:0008233 peptidase activity"
"17","GO:0004252",1.11410935216034e-06,4.91261244102303e-07,2.20919991160128e-05,"serine-type endopeptidase activity","GO:0004252 serine-type endopeptidase activity"
"18","GO:0005506",2.29161414309155e-06,9.98105991696327e-11,0.00119659529910574,"iron ion binding","GO:0005506 iron ion binding"
"19","GO:0019899",2.67528366483591e-06,1.20199158364302e-05,0.00103312723654773,"enzyme binding","GO:0019899 enzyme binding"
"20","GO:0005201",3.8540961561814e-06,6.67376094803032e-13,1.17840222044732e-08,"extracellular matrix structural constituent","GO:0005201 extracellular matrix structural constituent"
"21","GO:0042277",3.86561152085701e-06,NA,0.0019900256351857,"peptide binding","GO:0042277 peptide binding"
"22","GO:0061630",4.60545719751864e-06,6.38229264727686e-09,0.0060220026160226,"ubiquitin protein ligase activity","GO:0061630 ubiquitin protein ligase activity"
"23","GO:0019904",4.80456907027895e-06,0.00274923757824696,0.000527676554758955,"protein domain specific binding","GO:0019904 protein domain specific binding"
"24","GO:0020037",5.59104293718299e-06,3.63741560047583e-12,0.00297326772778101,"heme binding","GO:0020037 heme binding"
"25","GO:0019901",6.05815785812094e-06,3.18379697116542e-11,5.31910358893758e-05,"protein kinase binding","GO:0019901 protein kinase binding"
"26","GO:0008201",1.18637866530046e-05,4.02101975413961e-10,6.67643165498931e-05,"heparin binding","GO:0008201 heparin binding"
"27","GO:0017137",1.67598913888821e-05,3.02125529502439e-07,0.00225780636988566,"Rab GTPase binding","GO:0017137 Rab GTPase binding"
"28","GO:0003735",1.70419094655365e-05,0.0221100653869887,NA,"structural constituent of ribosome","GO:0003735 structural constituent of ribosome"
"29","GO:0031593",2.84510925285957e-05,0.00150223885623977,NA,"polyubiquitin modification-dependent protein binding","GO:0031593 polyubiquitin modification-dependent protein binding"
"30","GO:0008134",2.94895064078217e-05,1.32113320695442e-05,0.000123097968491121,"transcription factor binding","GO:0008134 transcription factor binding"
"31","GO:0004190",4.66659104255647e-05,0.00656859171208799,0.000888745166443338,"aspartic-type endopeptidase activity","GO:0004190 aspartic-type endopeptidase activity"
