	WGBS_1	WGBS_2	WGBS_3	MBDBS_1	MBDBS_2	MBDBS_3	RRBS_1	RRBS_2	RRBS_3
10:40784-40786	5.882353	9.090909	0	37.5	0	20	21.212121	5.128205	3.859649
10:40787-40789	31.25	9.090909	18.75	25	36.363636	0	4.040404	3.225806	2.836879
10:40813-40815	0	0	0	0	0	0	0	1.282051	0.348432
10:639451-639453	100	100	100	100	80	100	100	100	76.923077
10:730650-730652	60	33.333333	28.571429	87.5	100	100	97.87234	58.666667	97.87234
10:730659-730661	57.142857	41.176471	20	92.857143	100	88.888889	97.87234	52.054795	100
10:734263-734265	57.142857	20	63.636364	42.857143	58.333333	80	32.20339	25	17.307692
10:734269-734271	60	37.5	75	75	76.923077	100	37.931034	25	30.769231
10:734316-734318	80	25	45.454545	22.222222	33.333333	80	38.983051	2.941176	30.769231
10:734327-734329	50	12.5	38.461538	55.555556	50	80	33.898305	55.882353	40.384615
10:740123-740125	100	100	87.5	100	71.428571	100	100	85.714286	100
10:740130-740132	66.666667	100	71.428571	100	100	100	97.826087	100	93.75
10:740143-740145	50	77.777778	75	80	0	100	73.913043	71.428571	31.25
10:740253-740255	80	100	100	100	100	83.333333	92.307692	96.666667	100
10:740257-740259	100	100	87.5	100	80	83.333333	89.189189	90.322581	91.489362
10:740291-740293	20	57.142857	40	70	60	50	19.444444	61.290323	50
10:740296-740298	60	75	66.666667	90	80	83.333333	90.410959	90.322581	87.5
10:1079949-1079951	33.333333	14.814815	23.809524	6.25	0	42.857143	27.777778	40	8.300395
10:1857747-1857749	100	100	100	90	66.666667	100	18.181818	100	100
10:1857820-1857822	88.888889	83.333333	75	92.307692	83.333333	80	91.666667	88.235294	89.473684
10:1857852-1857854	50	33.333333	66.666667	38.461538	100	100	62.5	41.176471	88.235294
10:1857872-1857874	90	100	100	100	100	80	82.222222	95.454545	95
101:953650-953652	0	0	0	14.285714	0	0	3.030303	0	0
101:953671-953673	0	0	0	0	0	0	1.515152	0	0
1016:255850-255852	18.181818	11.111111	14.814815	0	0	0	1.834862	9.090909	0
1016:255860-255862	0	0	3.448276	12.5	0	0	0.917431	26.666667	0
102:13170-13172	13.636364	20.547945	6.976744	25	0	0	0	0	0
102:13179-13181	6.666667	20.253165	8.333333	31.578947	0	0	0	0	0.970874
102:13181-13183	15.217391	32.5	8.139535	42.105263	0	0	0	1.785714	0
102:13183-13185	10.638298	28.915663	10.465116	31.578947	0	0	0	0	0
102:13286-13288	0	1.333333	2.649007	1.639344	0	7.692308	0	42.857143	9.090909
102:13299-13301	0	1.219512	0.621118	0	0	0	0	42.857143	4.761905
102:14187-14189	2.12766	0	2.564103	5	0	0	4.854369	3.26087	3.448276
