WGBS_1	WGBS_2	WGBS_3	RRBS_1	RRBS_2	RRBS_3	MBDBS_1	MBDBS_2	MBDBS_3
10:40784-40786	5.882353	9.090909	0	21.212121	5.128205	3.859649	37.5	0	20
10:40787-40789	31.25	9.090909	18.75	4.040404	3.225806	2.836879	25	36.363636	0
10:40813-40815	0	0	0	0	1.282051	0.348432	0	0	0
10:639451-639453	100	100	100	100	100	76.923077	100	80	100
10:730650-730652	60	33.333333	28.571429	97.87234	58.666667	97.87234	87.5	100	100
10:730659-730661	57.142857	41.176471	20	97.87234	52.054795	100	92.857143	100	88.888889
10:734263-734265	57.142857	20	63.636364	32.20339	25	17.307692	42.857143	58.333333	80
10:734269-734271	60	37.5	75	37.931034	25	30.769231	75	76.923077	100
10:734316-734318	80	25	45.454545	38.983051	2.941176	30.769231	22.222222	33.333333	80
10:734327-734329	50	12.5	38.461538	33.898305	55.882353	40.384615	55.555556	50	80
10:740123-740125	100	100	87.5	100	85.714286	100	100	71.428571	100
10:740130-740132	66.666667	100	71.428571	97.826087	100	93.75	100	100	100
10:740143-740145	50	77.777778	75	73.913043	71.428571	31.25	80	0	100
10:740253-740255	80	100	100	92.307692	96.666667	100	100	100	83.333333
10:740257-740259	100	100	87.5	89.189189	90.322581	91.489362	100	80	83.333333
10:740291-740293	20	57.142857	40	19.444444	61.290323	50	70	60	50
10:740296-740298	60	75	66.666667	90.410959	90.322581	87.5	90	80	83.333333
10:1079949-1079951	33.333333	14.814815	23.809524	27.777778	40	8.300395	6.25	0	42.857143
10:1857747-1857749	100	100	100	18.181818	100	100	90	66.666667	100
10:1857820-1857822	88.888889	83.333333	75	91.666667	88.235294	89.473684	92.307692	83.333333	80
10:1857852-1857854	50	33.333333	66.666667	62.5	41.176471	88.235294	38.461538	100	100
10:1857872-1857874	90	100	100	82.222222	95.454545	95	100	100	80
101:953650-953652	0	0	0	3.030303	0	0	14.285714	0	0
101:953671-953673	0	0	0	1.515152	0	0	0	0	0
1016:255850-255852	18.181818	11.111111	14.814815	1.834862	9.090909	0	0	0	0
1016:255860-255862	0	0	3.448276	0.917431	26.666667	0	12.5	0	0
102:13170-13172	13.636364	20.547945	6.976744	0	0	0	25	0	0
102:13179-13181	6.666667	20.253165	8.333333	0	0	0.970874	31.578947	0	0
102:13181-13183	15.217391	32.5	8.139535	0	1.785714	0	42.105263	0	0
102:13183-13185	10.638298	28.915663	10.465116	0	0	0	31.578947	0	0
102:13286-13288	0	1.333333	2.649007	0	42.857143	9.090909	1.639344	0	7.692308
102:13299-13301	0	1.219512	0.621118	0	42.857143	4.761905	0	0	0
102:14187-14189	2.12766	0	2.564103	4.854369	3.26087	3.448276	5	0	0
102:14197-14199	0	2.857143	3.529412	0.479616	0.359712	1.9678	0	0	0
102:14206-14208	4.166667	5.479452	3.370787	1.438849	1.079137	1.607143	4.347826	12.5	0
102:14209-14211	3.571429	6.25	6.25	2.63789	1.083032	1.964286	3.448276	11.111111	0
102:14214-14216	2	0	4.166667	0.479616	0	1.607143	0	20	0
102:14217-14219	1.960784	2.702703	2.173913	0.959233	0.724638	2.329749	3.448276	0	0
102:14220-14222	5.882353	10	8.791209	6.098081	17.935616	7.491356	16.666667	16.666667	7.692308
102:14238-14240	4.615385	3.157895	3.539823	1.321702	4.699488	1.292568	0	10	0
102:14249-14251	1.428571	5.555556	9.090909	3.06699	6.921867	1.308032	8.695652	0	0
102:14251-14253	0	4.716981	3.278689	3.030915	6.83604	1.420402	8.333333	8.333333	0
102:14257-14259	1.190476	2.564103	3.875969	2.685241	4.872937	0.939746	3.846154	6.666667	0
102:14288-14290	0.952381	2.684564	0.666667	0.968523	2.304268	1.84196	2.857143	0	5.263158
102:14367-14369	9.375	23.636364	13.793103	2.443951	3.22884	2.475522	20	12.5	0
1033:234213-234215	0	0	0	6.707317	13.333333	14.285714	11.111111	0	0
1033:234573-234575	0	5.555556	7.407407	3.862661	7.2	4.680851	0	0	9.090909
1033:234600-234602	0	0	0	0	0	0	0	0	10
1033:234606-234608	0	6.25	0	0	0	0	0	0	10
106:1124642-1124644	0	0	0	6.081081	5.714286	6.349206	0	0	0
1065:243211-243213	0	0	0	0	0	0	0	0	0
1065:243213-243215	0	0	0	7.692308	0	0	0	40	0
1065:243217-243219	0	0	0	10.795455	2.597403	15.425532	0	20	0
1065:243220-243222	0	0	0	8.58209	2.439024	5.970149	0	40	0
1065:243238-243240	0	8.333333	0	2.61194	2.419355	3.58209	0	0	0
1067:2230-2232	0	3.125	1.851852	0.863931	4.347826	5.263158	0	0	0
1067:2249-2251	0	0	0	0.733391	0	5.263158	0	0	0
1067:2289-2291	0	0	4.210526	0.733391	0	5.263158	4.761905	10	9.090909
1067:2308-2310	3.030303	0	0	1.294778	0	5.263158	0	0	0
1067:2338-2340	4.761905	1.333333	2.352941	0.692042	4.347826	5.263158	0	0	0
1067:2340-2342	8.510638	5.376344	1.111111	0.995671	4.347826	5.263158	2.777778	0	0
1067:2343-2345	2.173913	5.208333	2.247191	0.477016	4.347826	5.263158	0	10	0
1067:2345-2347	2.222222	1.06383	0	0.519256	4.347826	5.263158	0	0	0
1067:2348-2350	9.52381	4.597701	2.380952	16.312057	9.090909	13.333333	0	0	0
1067:2418-2420	0	1.015228	0	0	0	0	0	0	0
1067:2448-2450	0	0.460829	0	0	0	23.529412	1.052632	5.882353	0
1067:2461-2463	0	1.030928	0	0	0	23.529412	1.176471	0	11.111111
1067:2481-2483	0	1.204819	1.052632	0	11.111111	30.769231	1.388889	0	0
1067:2513-2515	0	2.547771	1.219512	40	22.222222	33.333333	1.818182	0	0
1067:3615-3617	3.076923	0	1.020408	0.297619	0.424929	0.266312	0	0	0
1067:3643-3645	0	0	0	0.597015	0.565771	1.331558	11.111111	7.142857	0
1067:3683-3685	0	0	0	0.149477	0.282087	0.801068	0	0	0
1067:3700-3702	3.333333	0	0	0.597015	0.564972	0.133333	0	0	0
109:89411-89413	0	0	0	0	1.111111	1.06383	0	0	20
109:89435-89437	0	0	0	2.105263	0	1.06383	0	0	20
1095:30013-30015	1.818182	0	0	0	0	0	0	0	0
1095:30018-30020	1.818182	0	0	0	0	7.692308	0	0	0
1095:30022-30024	0	0	2.631579	0	0	0	0	0	0
1095:30026-30028	0	0	0	0	0	0	0	0	0
1095:30036-30038	1.5625	2.272727	3.75	0	0	0	0	6.25	3.846154
1095:30050-30052	4.411765	0	2.380952	0	0	0	2.439024	4.761905	0
1095:30066-30068	0	1.818182	4.395604	0	0	0	0	0	0
1095:30079-30081	2.739726	0	5.494505	7.692308	0	0	0	0	4
1097:246357-246359	0	0	0	1.851852	0	0	0	0	0
1110:168373-168375	80	100	100	66.666667	100	70.833333	100	100	100
1110:168378-168380	83.333333	100	83.333333	68.421053	92.682927	77.083333	90.909091	100	87.5
1113:227256-227258	0	0	3.030303	0.591716	0.704225	1.041667	0	0	0
1113:227259-227261	0	0	0	0	0.70922	1.736111	0	0	0
1113:227282-227284	6.666667	0	0	5	3.915171	7.356608	0	0	0
1113:227307-227309	0	0	6.896552	0.550964	0.361664	0.723589	0	0	0
1113:227315-227317	18.75	0	6.896552	0.550964	0.542495	10	0	14.285714	0
1113:227317-227319	6.25	5.555556	0	0.275482	0.543478	11.432706	0	14.285714	0
1122:89833-89835	8.333333	6.666667	0	0	10	0	11.111111	0	0
1122:89846-89848	0	0	0	0	0	0	10	0	0
1122:89862-89864	0	7.692308	0	0	0	0	0	14.285714	0
1122:89876-89878	4.545455	0	0	4.761905	0	0	0	0	0
1122:89886-89888	5.263158	0	0	0	0	0	0	0	0
1125:99790-99792	0	0	0	0	1.492537	1.829268	0	0	0
1125:99847-99849	0	4.347826	2.222222	0	0	0.625	0	11.111111	0
1125:100014-100016	0	2	0.909091	0	0	0	0	0	0
1125:100080-100082	0.961538	0.833333	0	3.846154	0	0	0	0	0
1125:100102-100104	1.086957	0	0	0	0	0	0	0	0
1125:100139-100141	0	1.515152	1.204819	1.923077	0	0	0	0	0
1125:100148-100150	1.754386	0	0	0	0	2.12766	0	0	0
1125:100152-100154	0	1.515152	1.428571	0	0	0	0	0	0
1125:100168-100170	0	0	0	0	8.333333	2.12766	20	0	0
1125:101136-101138	3.448276	0	0	0	0	0	0	0	0
1125:101145-101147	0	0	0	0.634921	0.649351	0.619195	0	0	6.25
1125:101162-101164	0	0	1.492537	2.072539	0	0.854701	0	0	0
1125:101191-101193	0	1.960784	0	1.501502	1.875	0.58651	0	0	0
1125:101200-101202	0	4.255319	0	0.60241	0	0.294118	0	0	7.692308
1125:103107-103109	0	0	0	0	0.671141	0.413223	0	0	0
1125:103129-103131	0	0	0	0	1.342282	0.816327	0	0	0
1125:103175-103177	0	3.333333	0	0	1.333333	0	0	0	0
1125:103196-103198	0	4	2.941176	2.298851	2.040816	2.857143	0	0	0
1125:105246-105248	1.449275	5	1.785714	0	0	0	3.703704	8.333333	0
1125:105255-105257	1.298701	0	3.076923	0	0	0	0	0	0
1125:105259-105261	2.5	0	0.719424	0	0	0	0	0	0
1125:105283-105285	1.06383	0	1.123596	0.698439	0.80661	0.738552	0	0	0
1125:105364-105366	0.617284	1.515152	0	0.574831	0.196696	0.681276	1.369863	0	0
1125:105373-105375	0	0.729927	1.792115	0.656949	0.531078	0.670759	0	0	1.851852
1125:105402-105404	0	0	2	0.414164	0.334324	0.575476	7.407407	0	0
1125:105419-105421	0.78125	0.793651	1.282051	0.939315	0.282952	0.771482	0	0	0
1125:105428-105430	2.390438	0	0.501253	0.531915	0.546448	0.854701	0	0	0
1125:105476-105478	1.893939	2.083333	1.554404	0.518425	0.423057	0.829551	1.041667	0	0
1125:105494-105496	1.176471	0.638978	2.004008	0.481903	0.668502	0.702709	1.526718	2.941176	2.352941
1125:105516-105518	1.002506	0	0.986842	0.501935	0.361882	0.763889	0	0	0
1125:105553-105555	1.023018	2.432432	0.853242	0.482596	0.590667	0.714934	0	2.912621	0.943396
1125:105562-105564	1.036269	1.362398	1.023891	0.537301	0.375643	0.843689	0.675676	0.961538	0.909091
1125:105583-105585	0.900901	1.577287	0.6	4.428288	3.543307	5.655949	0	0	3.225806
1125:105590-105592	0.589971	1.910828	0.804829	4.210526	8.943089	14.705882	0.769231	1.123596	0
1125:105671-105673	2.290076	1.652893	1.666667	5.555556	7.086614	9.859155	1.612903	0	0
1125:105680-105682	0.961538	0	0.617284	5.025126	4.761905	9.047619	0	0	0
1125:105735-105737	0	0	2.083333	0	2.857143	4.761905	0	0	0
1125:105823-105825	0	0	0	0	0	3.571429	0	0	0
