Orthogroup	Mcap.protein	Pocillopora_acuta_protein	Total
OG0000000	15	47	62
OG0000001	9	49	58
OG0000002	1	46	47
OG0000003	2	40	42
OG0000004	6	35	41
OG0000005	9	32	41
OG0000006	3	37	40
OG0000007	11	28	39
OG0000008	5	34	39
OG0000009	5	32	37
OG0000010	3	33	36
OG0000011	3	32	35
OG0000012	3	32	35
OG0000013	4	31	35
OG0000014	4	29	33
OG0000015	3	30	33
OG0000016	2	30	32
OG0000017	2	29	31
OG0000018	1	28	29
OG0000019	3	26	29
OG0000020	2	26	28
OG0000021	5	22	27
OG0000022	5	22	27
OG0000023	4	23	27
OG0000024	26	1	27
OG0000025	4	23	27
OG0000026	5	21	26
OG0000027	21	5	26
OG0000028	2	24	26
OG0000029	3	23	26
OG0000030	7	18	25
OG0000031	23	2	25
OG0000032	2	23	25
OG0000033	1	24	25
OG0000034	1	24	25
OG0000035	2	23	25
OG0000036	2	23	25
OG0000037	3	22	25
OG0000038	3	21	24
OG0000039	11	13	24
OG0000040	2	22	24
OG0000041	21	3	24
OG0000042	2	22	24
OG0000043	1	23	24
OG0000044	3	21	24
OG0000045	23	0	23
OG0000046	2	21	23
OG0000047	1	22	23
OG0000048	23	0	23
OG0000049	22	1	23
OG0000050	1	22	23
OG0000051	20	2	22
OG0000052	1	21	22
OG0000053	2	20	22
OG0000054	7	15	22
OG0000055	20	2	22
OG0000056	22	0	22
OG0000057	2	20	22
OG0000058	20	2	22
OG0000059	2	20	22
OG0000060	0	22	22
OG0000061	0	22	22
OG0000062	2	19	21
OG0000063	2	19	21
OG0000064	4	17	21
OG0000065	1	20	21
OG0000066	1	19	20
OG0000067	19	1	20
OG0000068	18	2	20
OG0000069	20	0	20
OG0000070	3	17	20
OG0000071	18	2	20
OG0000072	2	18	20
OG0000073	0	20	20
OG0000074	2	17	19
OG0000075	18	1	19
OG0000076	16	3	19
OG0000077	16	3	19
OG0000078	18	1	19
OG0000079	17	2	19
OG0000080	2	17	19
OG0000081	2	17	19
OG0000082	3	16	19
OG0000083	0	19	19
OG0000084	0	19	19
OG0000085	16	2	18
OG0000086	6	12	18
OG0000087	2	16	18
OG0000088	5	13	18
OG0000089	5	13	18
OG0000090	2	16	18
OG0000091	5	13	18
OG0000092	4	14	18
OG0000093	2	16	18
OG0000094	18	0	18
OG0000095	2	16	18
OG0000096	1	17	18
OG0000097	1	17	18
OG0000098	2	15	17
OG0000099	4	13	17
OG0000100	8	9	17
OG0000101	1	16	17
OG0000102	11	6	17
OG0000103	15	2	17
OG0000104	3	14	17
OG0000105	2	15	17
OG0000106	1	16	17
OG0000107	1	16	17
OG0000108	0	17	17
OG0000109	0	17	17
OG0000110	13	3	16
OG0000111	14	2	16
OG0000112	14	2	16
OG0000113	4	12	16
OG0000114	3	13	16
OG0000115	15	1	16
OG0000116	1	15	16
OG0000117	1	15	16
OG0000118	2	14	16
OG0000119	1	15	16
OG0000120	0	16	16
OG0000121	6	9	15
OG0000122	14	1	15
OG0000123	14	1	15
OG0000124	15	0	15
OG0000125	14	1	15
OG0000126	3	12	15
OG0000127	10	5	15
OG0000128	15	0	15
OG0000129	2	13	15
OG0000130	13	2	15
OG0000131	13	2	15
OG0000132	3	12	15
OG0000133	15	0	15
OG0000134	2	13	15
OG0000135	2	13	15
OG0000136	1	14	15
OG0000137	1	14	15
OG0000138	0	15	15
OG0000139	4	10	14
OG0000140	4	10	14
OG0000141	1	13	14
OG0000142	3	11	14
OG0000143	1	13	14
OG0000144	14	0	14
OG0000145	10	4	14
OG0000146	2	12	14
OG0000147	11	3	14
OG0000148	2	12	14
OG0000149	13	1	14
OG0000150	13	1	14
OG0000151	13	1	14
OG0000152	12	2	14
OG0000153	2	12	14
