WGBS_1	WGBS_2	WGBS_3	MBDBS_1	MBDBS_2	MBDBS_3	RRBS_1	RRBS_2	RRBS_3
2.2902872.2902874	100	80	100	88.8888888888889	87.5	75	100	100	95
2.2902886.2902888	100	100	100	100	100	100	100	100	82.5
2.3232224.3232226	100	81.8181818181818	92.3076923076923	90.9090909090909	81.8181818181818	80	98.4615384615385	51.0204081632653	90.3225806451613
2.3232253.3232255	100	63.6363636363636	66.6666666666667	100	100	85.7142857142857	98.5714285714286	35.2564102564103	93.75
2.3232260.3232262	100	63.6363636363636	66.6666666666667	100	100	100	98.5714285714286	51.2820512820513	96.875
4.438011.438013	0.884955752212389	1.19047619047619	1.78571428571429	0	0	7.69230769230769	0	0	0
4.438074.438076	1.23456790123457	0	0	0	4.16666666666667	0	0	0	1.0989010989011
4.438084.438086	0	0	0	0	0	0	0	0	1.77514792899408
4.438091.438093	4	5.12820512820513	4.54545454545455	0	0	0	0	0	0
4.663221.663223	100	100	100	100	88.8888888888889	100	99.2857142857143	100	98.7012987012987
4.663239.663241	100	100	100	92.8571428571429	100	100	99.2857142857143	98.3193277310924	95.4545454545455
4.663254.663256	100	100	100	100	100	90.9090909090909	97.9310344827586	98.5611510791367	97.6923076923077
4.663439.663441	85.7142857142857	83.3333333333333	87.5	100	90	90.9090909090909	100	95.6043956043956	51.865671641791
4.663449.663451	85.7142857142857	100	87.5	92	90	77.7777777777778	98.0769230769231	91.304347826087	30.1136363636364
4.663459.663461	83.3333333333333	100	37.5	100	57.1428571428571	70	92.8571428571429	100	100
4.663469.663471	83.3333333333333	100	87.5	92.5925925925926	100	100	35.6435643564356	100	35.2459016393443
4.663511.663513	71.4285714285714	80	57.1428571428571	92	100	100	34.6938775510204	100	29.4642857142857
4.1631172.1631174	42.8571428571429	0	45	0	80	77.7777777777778	18.8405797101449	0	0
4.1631207.1631209	20	27.2727272727273	14.2857142857143	0	0	50	0	0	0
4.1631231.1631233	27.2727272727273	50	36.3636363636364	0	0	50	0	0	0
4.2282559.2282561	5.47945205479452	1.2987012987013	7.03125	8.57142857142857	6.25	15	0	0	0
4.2282561.2282563	6.75675675675676	7.31707317073171	11.1940298507463	5.71428571428571	0	17.3913043478261	0	3.07692307692308	0
4.2282569.2282571	1.16279069767442	5.20833333333333	5.06329113924051	2.38095238095238	0	8.57142857142857	4.54545454545455	1.35135135135135	0
4.2282615.2282617	0	1.89873417721519	2.03045685279188	1.5625	0	2.27272727272727	0	0	0
4.2282634.2282636	2.4390243902439	1.96078431372549	2.05128205128205	0	0	4.65116279069767	0	0	2.85714285714286
4.2282664.2282666	0	1.53846153846154	0.628930817610063	0	0	0	0	1.35135135135135	3.125
5.1383219.1383221	7.69230769230769	0	4.44444444444444	28.5714285714286	0	0	0	0	0.460829493087558
5.1383259.1383261	0	0	6	0	0	0	0	0	0
5.1383263.1383265	0	0	2	0	14.2857142857143	0	0.537634408602151	0	0
5.1383267.1383269	0	0	5.55555555555556	0	14.2857142857143	0	1.08108108108108	0	0
5.1383272.1383274	0	0	0	0	14.2857142857143	0	1.0752688172043	1.34228187919463	0
5.1383280.1383282	0	0	0	0	0	0	5.33333333333333	1.06382978723404	1.73913043478261
6.606434.606436	0	0	0	0	0	0	0.727272727272727	0	1.92307692307692
6.954962.954964	72.7272727272727	0	23.0769230769231	77.7777777777778	70	61.5384615384615	2.22222222222222	0	0.816326530612245
6.1224782.1224784	0	10	0	0	0	0	2.94736842105263	4.29292929292929	2.95031055900621
6.1224794.1224796	7.14285714285714	0	0	0	0	0	0.793650793650794	0	0.658761528326746
6.1224804.1224806	0	0	0	0	0	0	0	0.454545454545455	0.738552437223043
6.1224818.1224820	0	0	0	0	0	0	0.396825396825397	0.454545454545455	1.31752305665349
6.1224914.1224916	0	0	0	0	0	0	2.9940119760479	2.88888888888889	2.77246653919694
6.1224926.1224928	0	0	0	0	0	0	0.254777070063694	1.0989010989011	0.795755968169761
6.1224936.1224938	0	0	0	10	0	0	0.127388535031847	0.512445095168375	1.59045725646123
6.1224949.1224951	0	0	0	0	0	0	0.409276944065484	0.379362670713202	0.905292479108635
7.1957416.1957418	71.4285714285714	40	66.6666666666667	100	83.3333333333333	100	7.14285714285714	3.84615384615385	4.16666666666667
7.1957422.1957424	69.2307692307692	20	66.6666666666667	100	100	100	50	15.3846153846154	4.16666666666667
9.305021.305023	0	3.84615384615385	0	14.2857142857143	12.5	12.5	0	0	0
9.305047.305049	0	4.34782608695652	3.84615384615385	0	0	0	1.68539325842697	0	0.444444444444444
9.305056.305058	0	0	0	0	0	0	0	0	0.444444444444444
9.305070.305072	3.7037037037037	0	0	0	10	0	1.68539325842697	0	0
9.305109.305111	3.57142857142857	0	0	0	37.5	0	0	0	0
9.305129.305131	0	0	0	0	0	0	0	0	0.444444444444444
9.305134.305136	0	0	0	8.33333333333333	0	0	0	0	0.888888888888889
9.1447229.1447231	0	0	0	0	0	0	1.23456790123457	0	4.21052631578947
9.1447252.1447254	0	0	7.69230769230769	0	0	0	1.53374233128834	0	4.21052631578947
9.1839120.1839122	0	12.5	66.6666666666667	0	14.2857142857143	80	100	0	0
9.1839136.1839138	0	6.66666666666667	20	0	0	57.1428571428571	75	44.4444444444444	18.1818181818182
9.1839140.1839142	0	26.6666666666667	27.2727272727273	0	0	57.1428571428571	16.8269230769231	10.2941176470588	6.81818181818182
9.1839148.1839150	0	7.14285714285714	20	0	0	71.4285714285714	5.68927789934355	1.29032258064516	1.1611030478955
10.40784.40786	5.88235294117647	9.09090909090909	0	37.5	0	20	21.2121212121212	5.12820512820513	3.85964912280702
10.40787.40789	31.25	9.09090909090909	18.75	25	36.3636363636364	0	4.04040404040404	3.2258064516129	2.83687943262411
10.40813.40815	0	0	0	0	0	0	0	1.28205128205128	0.348432055749129
