WGBS_1	WGBS_2	WGBS_3	MBDBS_1	MBDBS_2	MBDBS_3	RRBS_1	RRBS_2	RRBS_3
16.1937307.1937309	2.55813953488372	1.69014084507042	1.95121951219512	0.632911392405063	2.63157894736842	5.22875816993464	1.77239957827148	1.15978288525146	1.86539118551418
16.1937326.1937328	3.125	3.35365853658537	12.0603015075377	2.61437908496732	3.50877192982456	11.9205298013245	9.93900867623056	3.24812608110705	5.25450123357422
16.1939229.1939231	1.45631067961165	1.94489465153971	2.14669051878354	0	2.35294117647059	3.24324324324324	14.0562248995984	12.7272727272727	5.05836575875486
16.1939252.1939254	1.35635018495684	1.14754098360656	2.94642857142857	1.34529147982063	1.79640718562874	2.1505376344086	0.467289719626168	3.13725490196078	1.70827858081472
16.1939280.1939282	5.63564875491481	3.1413612565445	6.73624288425047	5.58139534883721	6.2111801242236	6.21468926553672	6.14035087719298	5.73770491803279	5.9445178335535
16.1939287.1939289	6.74002751031637	7.40072202166065	6.15530303030303	6.16113744075829	4.54545454545455	6.62983425414365	4.54545454545455	3.41880341880342	5.05464480874317
16.1939289.1939291	8.59060402684564	7.93650793650794	8.84030418250951	8.53080568720379	7.05128205128205	9.89010989010989	8.62944162436548	6.17283950617284	7.61154855643045
1125.105516.105518	1.00250626566416	0	0.986842105263158	0	0	0	0.50193453937049	0.361881785283474	0.763888888888889
1125.105553.105555	1.0230179028133	2.43243243243243	0.853242320819113	0	2.9126213592233	0.943396226415094	0.482595749050211	0.590667454223272	0.714934180662733
1125.105562.105564	1.03626943005181	1.36239782016349	1.02389078498294	0.675675675675676	0.961538461538462	0.909090909090909	0.537301095267617	0.375642546461052	0.843689431079694
2374.4521.4523	11.7647058823529	9.04761904761905	8.59375	36.2068965517241	52.7093596059113	40.1869158878505	6.00558659217877	7.42857142857143	10.5090311986864
2374.4528.4530	7.16981132075472	6.91056910569106	5.30035335689046	28.8557213930348	41.9491525423729	24.1666666666667	4.88145048814505	8.98876404494382	5.55555555555556
2374.4532.4534	9.52380952380952	7.42049469964664	8.49673202614379	26.4069264069264	41.3284132841328	24.6376811594203	5.16039051603905	6.17977528089888	8.13008130081301
2374.4538.4540	16.8067226890756	14.7058823529412	17.0940170940171	47.9553903345725	69.5384615384615	50.6172839506173	12.621359223301	13.5593220338983	14.2394822006472
2374.4543.4545	14.0664961636829	9.67741935483871	12.2715404699739	40.6474820143885	62.1468926553672	40.2439024390244	8.18307905686546	10.1694915254237	12.6805778491172
2374.4545.4547	18.8775510204082	14.4	21.259842519685	46.9534050179211	67.4863387978142	54.4378698224852	15.1178918169209	12.3595505617978	15.4093097913323
2374.4554.4556	8.2687338501292	4.3010752688172	7.5	30.6513409961686	31.6353887399464	20.4968944099379	3.88888888888889	5.0561797752809	6.95102685624013
2374.4557.4559	18.6351706036745	14.945652173913	20.5405405405405	48.2490272373541	66.4	51.2048192771084	13.6300417246175	12.5	14.4904458598726
