"","PolyA_1041","PolyA_1471","PolyA_1637","RiboDep_1041","RiboDep_1471","RiboDep_1637"
"g7",430,401,350,466,521,509
"g8",249,135,193,319,185,260
"g18",441,301,309,214,103,170
"g27",0,5,6,69,65,108
"g24",653,827,419,1137,1359,1181
"g28",187,120,128,245,190,237
"g29",26,26,29,444,151,118
"g43",221,165,143,227,160,226
"g50",23,35,16,100,83,91
"g47",830,953,851,1506,796,1723
"g48",216,226,208,472,296,378
"g46",745,692,624,934,942,1217
"g53",0,0,0,16,13,9
"g56",504,438,332,204,107,121
"g75",0,0,0,25,9,9
"g74",98,80,77,243,100,145
"g78",349,407,364,168,122,128
"g86",13,26,12,51,30,46
"g89",17,19,30,54,35,41
"g95",23,41,26,345,219,234
"g92",0,0,0,65,26,33
"g91",2454,2269,1740,3492,1478,2314
"g94",276,272,189,2029,1215,1385
"g96",345,191,152,310,216,262
"g109",26,25,23,64,46,54
"g116",0,0,0,9,9,10
"g111",361,393,364,538,376,493
"g143",329,260,148,397,216,230
"g168",78,78,76,325,132,232
"g187",1497,1170,1145,1268,920,996
"g191",46,54,36,168,86,145
"g226",73,58,42,84,64,80
"g231",1417,855,693,405,311,421
"g237",20,9,14,29,23,39
"g251",132,112,142,161,125,201
"g262",28,36,11,139,56,90
"g259",269,336,173,1092,565,788
"g255",674,840,508,1826,1559,1756
"g253",1861,1916,1412,840,564,667
"g256",82,171,73,247,252,257
"g257",259,403,181,839,382,569
"g268",0,0,0,7,10,12
"g267",65,11,41,155,81,148
"g275",0,0,0,15,10,7
"g285",29,41,18,119,223,105
"g288",0,0,0,38,17,40
"g289",1844,1295,1420,1642,1389,1811
"g290",185,159,171,275,156,226
"g291",389,337,271,1392,1480,1612
"g292",194,150,100,867,661,885
"g298",0,0,0,66,117,89
"g296",345,170,204,130,57,74
"g344",0,0,0,5,21,9
"g356",312,337,324,161,63,141
"g366",0,0,0,24,13,6
"g359",316,261,172,126,76,90
"g373",0,0,0,24,12,12
"g381",1,0,0,13,5,5
"g391",36,16,15,143,84,90
"g388",486,378,276,688,574,628
"g389",751,598,454,1050,618,614
"g412",30,18,16,48,24,35
"g439",498,359,316,249,110,158
"g440",0,0,0,22,11,27
"g441",434,210,217,397,257,272
"g442",0,0,0,18,10,13
"g443",977,654,700,371,156,267
"g450",551,461,472,1326,1056,1364
"g454",0,0,0,14,19,13
"g462",74,49,55,103,45,98
"g463",233,149,158,339,301,381
"g461",62,82,78,135,112,137
"g480",1551,800,820,2128,1788,1937
"g481",0,0,0,21,18,23
"g483",594,435,476,684,792,852
"g484",179,190,158,269,219,220
"g514",0,0,0,24,8,10
"g513",103,125,84,154,116,124
"g518",236,172,198,117,78,75
"g498",96,32,62,116,110,155
"g532",507,315,338,446,319,301
"g538",205,94,125,331,394,413
"g542",639,188,254,1226,368,422
"g555",794,550,793,1673,782,1725
"g575",0,0,0,22,12,16
"g576",0,0,0,34,27,40
"g581",112,111,95,111,111,173
"g666",63,15,23,86,71,65
"g678",4,0,2,15,28,8
"g670",84,69,83,199,186,291
"g677",27,23,23,81,32,44
"g644",1328,715,749,2950,3466,3291
"g647",4918,3414,3422,1508,1285,1480
"g643",531,285,283,838,1190,924
"g697",23,17,33,254,254,313
"g702",4,0,0,35,23,48
"g699",270,215,144,281,163,214
"g710",47,29,15,48,114,133
"g694",195,146,104,308,140,137
"g695",354,425,367,1269,634,787
"g691",1335,1471,1262,759,449,607
"g693",684,995,715,1293,716,1170
"g732",169,99,40,191,312,197
"g734",0,0,0,11,15,7
"g736",1186,1008,898,1178,910,977
"g740",72,56,63,108,77,86
"g741",349,339,256,179,103,99
"g744",0,0,0,12,6,13
"g749",382,400,289,805,1362,1205
"g750",37,51,59,140,232,136
"g745",53,128,55,161,127,142
"g746",889,1024,708,1081,1159,1170
"g751",182,199,155,206,187,213
"g753",4,0,0,13,11,9
"g757",1140,880,719,1680,1003,1252
"g783",624,580,554,192,204,286
"g792",118,106,98,148,141,170
"g800",462,430,314,197,116,150
"g805",0,0,0,24,32,16
"g811",11,3,21,39,40,38
"g819",64,30,28,281,134,191
"g818",1053,714,536,1034,540,689
"g827",659,714,628,1367,1226,1315
"g830",828,610,636,1202,859,1058
"g836",2421,1595,1582,2497,2755,2686
"g838",0,0,0,34,17,32
"g839",1567,867,1035,1755,1286,1658
"g899",1,0,0,17,11,6
"g906",2,0,0,21,41,32
"g903",198,235,168,93,65,67
"g883",553,394,223,2050,574,875
"g882",14,5,0,52,22,20
"g917",0,0,0,28,22,37
"g920",0,0,0,22,10,32
"g921",88,127,91,150,98,155
"g933",1096,900,740,964,1020,989
"g939",0,3,0,13,7,22
"g934",524,320,414,248,130,167
"g945",0,0,0,24,14,13
"g948",338,241,252,123,84,138
"g962",2,9,16,77,48,69
"g958",530,468,420,570,503,517
"g959",12,19,12,23,29,28
"g973",156,110,109,262,149,191
"g974",274,148,170,270,329,299
"g994",23,70,43,134,118,129
"g999",82,52,44,258,354,328
"g1001",0,0,0,17,10,20
"g1002",12,0,0,63,46,55
"g1003",154,209,163,349,248,297
"g1004",728,535,484,960,1007,1136
"g1011",1340,962,947,556,323,511
"g1027",670,371,523,570,398,591
"g1064",0,0,0,11,8,14
"g1065",256,187,181,79,69,83
"g1047",1650,1268,1009,3278,1534,2328
"g1048",0,0,0,573,243,291
"g1049",0,0,0,35,20,14
"g1053",0,0,0,33,26,13
"g1054",0,0,0,149,65,101
"g1055",122,118,102,885,352,535
"g1045",1469,868,703,1552,1128,1438
"g1046",21,24,27,39,65,57
"g1051",589,542,303,3850,2948,2630
"g1056",85,75,38,1451,812,949
"g1088",563,377,489,273,105,129
"g1092",1571,1259,1294,1414,986,1041
"g1094",74,49,52,224,72,145
"g1105",149,103,127,119,277,171
"g1107",337,248,260,289,332,367
"g1108",336,252,230,694,486,658
"g1117",3,2,0,33,22,24
"g1118",2958,2410,2270,3313,1723,2429
"g1119",0,0,0,9,6,14
"g1121",0,0,0,35,12,18
"g1122",0,0,0,42,47,73
"g1120",44,22,24,117,71,102
"g1123",41,27,9,144,103,144
"g1131",101,68,61,25,22,29
"g1135",3,6,5,12,16,20
"g1133",0,0,0,11,22,13
"g1134",327,201,212,287,264,347
"g1140",37,33,34,78,65,95
"g1141",25,82,61,141,157,146
"g1153",1717,1496,1305,1472,1225,1191
"g1155",0,0,0,5,6,9
"g1156",19,0,0,76,59,57
"g1159",191,102,116,192,119,141
"g1161",0,0,0,67,39,68
"g1199",0,0,0,16,12,18
"g1212",362,228,270,376,221,301
"g1227",26,54,28,175,128,95
"g1229",54,44,44,310,102,201
"g1241",448,332,373,368,338,489
"g1252",9,13,0,238,156,199
"g1257",210,142,137,222,146,168
"g1261",1628,1269,1369,3273,1506,2207
"g1262",714,529,514,319,226,329
"g1270",453,289,274,179,106,139
"g1276",185,136,123,192,118,173
"g1289",27,10,12,44,22,33
"g1292",287,240,297,396,348,358
"g1296",37,30,36,63,57,37
"g1305",310,378,289,376,393,357
"g1336",476,334,336,634,485,552
"g1337",0,0,0,29,27,32
"g1343",100,52,57,25,18,25
"g1354",196,162,149,564,379,529
"g1356",207,227,200,245,220,201
"g1363",129,81,59,215,133,124
"g1369",52,28,25,181,135,114
"g1376",47,21,57,65,49,95
"g1391",1501,1194,1284,771,542,744
"g1428",0,0,0,16,20,13
"g1430",110,99,95,161,74,124
"g1431",97,77,71,253,198,225
"g1451",46,35,22,60,58,55
"g1448",982,605,705,344,174,308
"g1455",112,139,105,149,120,180
"g1474",106,126,84,167,88,132
"g1476",1469,1173,1396,2310,1883,1905
"g1477",114,112,52,250,136,165
"g1507",10,0,0,35,33,35
"g1500",18,16,7,45,25,37
"g1502",265,208,148,235,245,215
"g1510",81,177,95,268,174,202
"g1513",1958,1827,1659,2633,1763,2337
"g1514",0,0,0,186,73,161
"g1539",0,0,0,18,24,26
"g1538",58,44,21,107,75,101
"g1562",650,352,306,230,124,147
"g1563",473,202,222,671,251,404
"g1573",697,803,714,975,1405,1265
"g1617",659,650,599,940,592,745
"g1618",181,107,83,251,164,169
"g1624",12,0,10,172,88,132
"g1623",592,533,411,265,158,225
"g1626",8,1,0,85,42,61
"g1627",658,968,634,1445,996,1150
"g1628",428,439,393,1654,1543,1759
"g1629",65,36,44,179,90,156
"g1655",8,0,3,16,14,15
"g1656",6,11,2,23,15,30
"g1658",598,477,368,221,147,146
"g1669",112,189,59,218,231,219
"g1664",1364,904,1107,647,333,480
"g1665",885,728,778,337,293,389
"g1676",356,290,205,369,254,300
"g1680",10,10,13,50,20,63
"g1703",171,209,170,59,63,65
"g1695",0,0,0,11,7,7
"g1696",382,240,199,753,558,788
"g1698",737,770,631,1390,795,1163
"g1743",12,24,0,75,136,124
"g1727",92,78,86,32,27,32
"g1758",177,80,145,346,233,265
"g1759",443,181,231,628,418,517
"g1761",254,208,206,87,70,106
"g1775",17,15,18,47,27,26
"g1766",1372,1139,862,1683,1257,1169
"g1768",362,248,148,521,438,415
"g1777",0,0,0,4,6,9
"g1776",1574,1221,1288,1736,1471,1504
"g1778",147,77,89,323,254,308
"g1785",0,0,0,7,5,4
"g1779",936,836,896,523,283,413
"g1782",450,348,368,961,1121,1208
"g1783",64,58,43,114,88,114
"g1784",99,66,54,136,86,99
"g1786",34,27,24,133,61,72
"g1795",0,0,0,77,53,66
"g1794",79,51,61,116,72,111
"g1799",1793,1079,958,2250,1346,1617
"g1800",151,163,84,244,199,206
"g1804",87,93,60,190,136,92
"g1806",335,216,209,408,522,508
"g1807",172,79,76,123,415,338
"g1836",0,0,0,24,19,23
"g1833",202,192,178,95,59,61
"g1835",490,435,311,706,608,665
"g1837",58,24,26,130,139,138
"g1838",178,141,100,181,179,142
"g1843",636,374,328,533,378,485
"g1845",0,0,0,24,24,13
"g1847",150,139,114,223,172,145
"g1848",173,124,178,284,272,246
"g1849",193,140,146,338,293,354
"g1864",445,207,218,1164,629,741
"g1866",442,336,267,622,450,500
"g1897",0,0,0,73,31,57
"g1910",93,29,46,156,69,83
"g1906",0,0,0,4,19,11
"g1924",0,0,0,19,21,11
"g1919",37,32,23,89,35,93
"g1934",12,17,5,41,32,36
"g1978",68,56,34,142,76,101
"g1982",15,9,26,32,57,34
"g2000",0,0,0,19,17,5
"g2002",87,61,63,29,20,25
"g2009",36,31,29,59,40,44
"g2013",586,418,392,569,398,468
"g2014",255,140,187,611,326,541
"g2012",18,0,7,56,35,45
"g2036",1083,667,627,1201,1345,1313
"g2038",103,56,69,192,103,115
"g2056",36,27,31,84,71,72
"g2060",0,0,0,9,13,5
"g2062",0,0,0,41,13,12
"g2075",534,505,536,517,539,551
"g2071",135,109,147,505,335,599
"g2072",172,229,262,306,399,442
"g2102",13,31,27,56,45,84
