Orthogroup	Pocillopora_acuta_protein	Mcap.protein
OG0000000	g21703	augustus.g40930.t1
OG0000000	g32999	augustus.g35176.t1
OG0000000	g61002, g4231	augustus.g4394.t1
OG0000000	g31140	augustus.g61068.t1
OG0000000	g4659	augustus.g27153.t1
OG0000000	g22292, g45492, g51284	augustus.g58966.t1
OG0000000	g9608, g15299, g63514	augustus.g59066.t1
OG0000000	g27505, g14280, g27466, g9093, g13451, g45936	augustus.g52595.t1
OG0000000	g33823, g25241, g55288, g53247	augustus.g45315.t1
OG0000000	g61321, g25865, g2012, g3259, g61601, g11845	adi2mcaRNA21168_R0
OG0000000	g40291, g7478, g14761	adi2mcaRNA36365_R0, adi2mcaRNA6923_R1
OG0000000	g26359, g59758	augustus.g33995.t1
OG0000000	g26313	augustus.g33970.t1
OG0000000	g23092, g34529, g49646	augustus.g28498.t1
OG0000001	g26992, g61521, g15551, g27337, g23145, g11569, g56670, g60857	augustus.g31881.t1
OG0000001	g21832, g62535, g38550, g16854, g64479, g36486, g55622, g10438, g19669, g57605, g37273, g32900	adi2mcaRNA4286_R0
OG0000001	g18182	augustus.g33566.t1
OG0000001	g8760	augustus.g34406.t1
OG0000001	g14408	augustus.g33197.t1
OG0000001	g59408	augustus.g58377.t1, augustus.g55012.t1, augustus.g63475.t1, adi2mcaRNA1343_R0
OG0000002	g64100, g54684, g10595, g6778, g38966, g8418, g40802, g9028, g37960, g13511, g28330, g45628, g41986, g5163, g43749, g17561, g56386, g26580, g58742, g23691, g53384, g24968, g50297, g15818, g58, g56906, g27470, g4039, g38761, g16047, g58399, g1038, g5773, g34159, g8269, g3451, g6372, g19954, g28354, g33258, g59587, g16709, g58052, g29672, g55103, g49001	augustus.g6740.t1
OG0000003	g52953, g2286	augustus.g64395.t1
OG0000003	g50307, g36151, g28978, g39279, g32319, g24946, g14471, g63730, g43748, g41004, g57079, g35963, g12774, g56395, g34158, g56976, g56274, g61548, g55498, g24596, g29326, g38251, g16678, g2341, g11484, g5164, g248, g52957, g41778, g25884, g38490, g54423, g11181, g5866, g11031, g55535, g18081, g56569	augustus.g11301.t1
OG0000004	g52140	augustus.g37229.t1
OG0000004	g30544	augustus.g51655.t1, augustus.g22566.t1
OG0000004	g5145	augustus.g43827.t1, augustus.g70331.t1
OG0000004	g35218, g10724, g15709, g2409, g28072, g16142, g12843, g6362, g21136, g11413, g34677, g62930, g1070, g11639, g59696, g63829, g31147, g29170, g48326, g53816, g11861, g36373, g26603, g37626, g18347, g10299, g60604, g8628, g30437, g33307, g81, g11392	augustus.g35024.t1
OG0000005	g12710	augustus.g22834.t1
OG0000005	g8966, g12232, g961, g39095, g9683, g64262, g53779, g14870, g2051, g24857, g20747, g44995	augustus.g37650.t1, augustus.g37649.t1, augustus.g61745.t1
OG0000005	g59761, g14757, g31931, g9392, g47002, g8784, g6527	augustus.g29903.t1, augustus.g29899.t1
OG0000005	g48528	augustus.g25430.t1
OG0000005	g25205	augustus.g29179.t1, augustus.g4901.t1
OG0000006	g61669	adi2mcaRNA36173_R1
OG0000006	g47260, g42756, g52450, g18241, g42230, g7454, g5097, g35987, g49242, g42237, g28135, g53523, g44277, g55761, g4560, g18236, g5092, g41336, g51144, g45683, g46087, g38900, g52978, g36525, g7459, g44958, g52064, g56307, g49220, g46084, g44117, g4561, g61115, g39537, g57274, g58135	adi2mcaRNA1099_R0, augustus.g58167.t1
OG0000007	g30306, g45537, g25795	augustus.g8540.t1, augustus.g68966.t1, adi2mcaRNA28366_R0, augustus.g64865.t1, augustus.g56670.t1, augustus.g64863.t1, adi2mcaRNA23428_R4
OG0000007	g61110, g46889, g32948, g44590, g29135, g48384, g56426, g18038, g63437, g59256, g57790, g59552, g30641, g50936, g33996, g18590, g30644, g57061, g33992, g48007, g48011, g56263, g17504, g17602, g18412	adi2mcaRNA20852_R2, adi2mcaRNA20852_R3, adi2mcaRNA20852_R4, adi2mcaRNA20852_R6
OG0000008	g64425, g57969, g56695, g40036, g48454, g40028, g40020	augustus.g28674.t1
OG0000008	g5179, g58242, g52353, g52351, g45011, g43937, g32523, g56696, g64426, g56691, g48452, g64428, g58966, g58245, g52349, g50249, g53128, g40029, g56692	adi2mcaRNA30862_R0, adi2mcaRNA30862_R1, augustus.g68327.t1
OG0000008	g36195, g46936, g12288, g390, g30909, g45137, g64090	augustus.g62552.t1
OG0000009	g23196, g25444, g33302, g40398, g43191	augustus.g43736.t1
OG0000009	g1127, g31033, g34646, g33991, g62238, g12829, g44188, g13376, g49206, g38144, g34895, g1398, g12304, g26070, g29583, g61948, g59069, g33481, g20679, g40459, g18904, g49505, g39640, g60378, g25801, g43781, g45784	adi2mcaRNA35648_R2, augustus.g66732.t1, augustus.g56721.t1, augustus.g48777.t1
OG0000010	g46456, g17651	augustus.g45711.t1
OG0000010	g30692, g802	adi2mcaRNA35513_R0
OG0000010	g6186, g6528, g11489, g41882, g50777, g61939, g61992, g9162, g43723, g7818, g46288, g23025, g23244, g33310, g40180, g55735, g29954, g27472, g39118, g37424, g36472, g18367, g39159, g20541	augustus.g48488.t1
OG0000011	g49148, g51141, g31899, g21659, g21317, g43949, g21734, g31893, g21316	adi2mcaRNA11354_R4, adi2mcaRNA11357_R3
